L0021200000;ГОРИЗОНТАЛИ ОСНОВНЫЕ;Горизонтали основные_25к-100к
L00212000001;ГОРИЗОНТАЛИ ОСНОВ.(на ледник.);NoneStyleLine
L00212000002;ГОРИЗОНТАЛИ ОСНОВ. на оползнях;NoneStyleLine
L00212000003;ГОРИЗОНТАЛИ ОСНОВ.(под водой);NoneStyleLine
S0022110000;ЛЕДНИКИ;NoneStylePoly
S0022121000;ФИРНОВЫЕ ПОЛЯ;NoneStylePoly
L0022130000;ЛЕДНИКОВЫЕ ТРЕЩИНЫ;NoneStyleLine
L0022140000;ВЫХОДЫ ИСКОПАЕМЫХ ЛЬДОВ;NoneStyleLine
S0022140000;ВЫХОДЫ ИСКОПАЕМЫХ ЛЬДОВ;NoneStylePoly
L0022151000;ЛЕДЯНЫЕ ОБРЫВЫ;NoneStyleLine
S0022151000;ЛЕДЯНЫЕ ОБРЫВЫ;NoneStylePoly
L0022160000;МОРЕНЫ;NoneStyleLine
S0022160000;МОРЕНЫ;NoneStylePoly
L0022211000;ОВРАГИ;NoneStyleLine
S0022211000;ОВРАГИ;NoneStylePoly
L0022212000;ПРОМОИНЫ ;Горизонтали основные утолщённые_25к-100к
S0022212000;ПРОМОИНЫ ;NoneStylePoly
L0022213000;БРОВКА ОВРАГА, ПРОМОИНЫ;Горизонтали основные утолщённые_25к-100к
L0022221000;СУХИЕ РУСЛА  ;NoneStyleLine
S0022221000;СУХИЕ РУСЛА ;NoneStylePoly
S0022222000;КОТЛОВИНЫ ВЫСОХШИХ ОЗЕР;NoneStylePoly
L0022230000;ВАЛЫ ЗЕМЛЯНЫЕ(береговые и др.);NoneStyleLine
S0022230000;ВАЛЫ ЗЕМЛЯНЫЕ(береговые и др.);NoneStylePoly
L0022231000;ВАЛЫ ИСТОРИЧЕСКИЕ;NoneStyleLine
L00222310001;ВАЛЫ ИСТОРИЧЕСКИЕ (одностор.);NoneStyleLine
L00222310002;ВАЛЫ ИСТОРИЧЕСКИЕ(2-стор.2-л.);NoneStyleLine
L00222310003;ВАЛЫ ИСТОРИЧЕСКИЕ(2-стор.1-л.);NoneStyleLine
L0022232000;ВАЛЫ ПРОЧИЕ (односторонние);NoneStyleLine
L00222320001;ВАЛЫ ПРОЧИЕ (2-сторон.2-линии);NoneStyleLine
L00222320002;ВАЛЫ ПРОЧИЕ (2-сторон.1-линию);NoneStyleLine
S0022241000;КАРСТОВЫЕ,ТЕРМОКАРСТ.ВОРОНКИ ;NoneStylePoly
P0022241000;КАРСТОВЫЕ,ТЕРМОКАРСТ.ВОРОНКИ ;Карстовые воронки_100к
S0022242000;РАЙОНЫ РАСПРОСТРАНЕНИЯ КАРСТА ;NoneStylePoly
S0022250000;ЯМЫ;NoneStylePoly
P0022250000;ЯМЫ;Ямы_100к
S0022260000;ОПОЛЗНИ ;NoneStylePoly
P0022310000;СКАЛЫ-ОСТАНЦЫ ;Скалы-останцы (крупные)_100к
L0022320000;ДАЙКИ И ДР.КРУТОСТЕННЫЕ ГРЯДЫ;Дайки_100к
S0022410000;СКАЛЫ И СКАЛИСТЫЕ ОБРЫВЫ;NoneStylePoly
S0022421000;КРАТЕРЫ ГРЯЗЕВЫХ ВУЛКАНОВ;NoneStylePoly
S00224210001;КРАТЕРЫ ГРЯЗЕВЫХ ВУЛКАНОВ(к-с);NoneStylePoly
P0022421000;КРАТЕРЫ ГРЯЗЕВЫХ ВУЛКАНОВ;Кратеры грязевых вулканов_25к-50к
S0022422000;КРАТЕРЫ ОБЫЧНЫХ ВУЛКАНОВ;NoneStylePoly
S00224220001;КРАТЕРЫ ОБЫЧНЫХ ВУЛКАНОВ (к-с);NoneStylePoly
P0022422000;КРАТЕРЫ ОБЫЧНЫХ ВУЛКАНОВ;Кратеры вулканов, не выражающиеся в масштабе карты_100к
S0022431000;ЛАВОВЫЕ ПОТОКИ;NoneStylePoly
S0022432000;ЛАВОВЫЕ ПОКРОВЫ;NoneStylePoly
S0022511000;НАЛЕДИ;NoneStylePoly
S0022520000;КУРГАНЫ И БУГРЫ;Курганы и бугры (полигон)_25к-100к
P0022520000;КУРГАНЫ И БУГРЫ;Курганы и бугры_100к
S0022521000;КУРГАНЫ ;NoneStylePoly
P0022521000;КУРГАНЫ ;NoneStyleMark
S0022522000;БУГРЫ;NoneStylePoly
P0022522000;БУГРЫ ;NoneStyleMark
P0022611000;СКОПЛЕНИЕ КАМНЕЙ;Скопления камней_100к
P0022612000;ОТДЕЛЬНО ЛЕЖАЩИЕ КАМНИ ;Отдельно лежащие камни_100к
L0022613000;ГРЯДЫ КАМНЕЙ (естественные);NoneStyleLine
L00226130001;ГРЯДЫ КАМНЕЙ (искусственные);NoneStyleLine
S0022620000;ОСЫПИ (твердых пород);NoneStylePoly
S00226200001;ОСЫПИ (рыхлых пород);NoneStylePoly
L0022630000;ОБРЫВЫ ЗЕМЛЯНЫЕ ;NoneStyleLine
L00226300001;ОБРЫВЫ ЗЕМЛЯНЫЕ(искусственные);обрывчик
S0022630000;ОБРЫВЫ ЗЕМЛЯНЫЕ(искусственные);NoneStylePoly
S00226300001;ОБРЫВЫ ЗЕМЛЯНЫЕ;NoneStylePoly
L0022650000;ЗАДЕРНОВАННЫЕ УСТУПЫ;NoneStyleLine
L0022660000;УКРЕПЛЕННЫЕ УСТУПЫ ПОЛЕЙ;NoneStyleLine
L0071111110;ЛЕСА ГУСТЫЕ ВЫСОКИЕ (ОБЫЧНЫЕ);NoneStyleLine
P0071111113;КОЛКИ;NoneStyleMark
P0071111114;РОЩИ ОРИЕНТИРЫ (хвойные);NoneStyleMark
P0071111115;РОЩИ ОРИЕНТИРЫ (лиственные);NoneStyleMark
P0071111116;РОЩИ ОРИЕНТИРЫ (смешан.пород);NoneStyleMark
S0071111117;ПАЛЬМОВЫЕ РОЩИ ;NoneStylePoly
P0071111117;ПАЛЬМОВЫЕ РОЩИ ;NoneStyleMark
S0071111210;ЛЕСА РЕДКИЕ ВЫСОКИЕ (ОБЫЧНЫЕ);NoneStylePoly
P0071111210;ЛЕСА РЕДКИЕ ВЫСОКИЕ (ОБЫЧНЫЕ);NoneStyleMark
S0071111220;ЛЕСА РЕДКИЕ НИЗКОРОСЛЫЕ ;NoneStylePoly
P0071111220;ЛЕСА РЕДКИЕ НИЗКОРОСЛЫЕ ;NoneStyleMark
P0071112100;БУРЕЛОМЫ ;NoneStyleMark
S0071112200;ЛЕСА ГОРЕЛЫЕ И СУХОСТОЙНЫЕ ;Горелые и сухостойные леса_100к
P0071112200;ЛЕСА ГОРЕЛЫЕ И СУХОСТОЙНЫЕ ;Горелые леса (точечный)_100к
S0071112300;ЛЕСА ВЫРУБЛЕННЫЕ  ;Вырубленные леса_100к
P0071112300;ЛЕСА ВЫРУБЛЕННЫЕ  ;Вырубленные леса (точечный)_100к
L0071113000;ПОРОСЛЬ ЛЕСА ;NoneStyleLine
P0071114000;СТЛАНИК ;NoneStyleMark
L0071131000;ОБСАД.ВДОЛЬ ДОРОГ,РЕК(одност.);NoneStyleLine
L00711310001;ОБСАДКА ВДОЛЬ ДОРОГ,РЕК двуст.;NoneStyleLine
P0071132100;ДЕРЕВЬЯ(не имеющ.знач ориент.);Отдельные деревья, не имеющие значения ориентирования_100к
P0071132210;ДЕРЕВЬЯ ОРИЕНТИРЫ (хвойные);Отдельностоящие хвойные деревья_100к
P0071132220;ДЕРЕВЬЯ ОРИЕНТИРЫ (лиственные);Отдельностоящие лиственные деревья_100к
P0071132230;ОТДЕЛЬНЫЕ ПАЛЬМЫ (ориентиры)  ;NoneStyleMark
P0071211100;КУСТАРНИКИ КОЛЮЧИЕ ;Кустарники колючие (точечный)_100к
L0071211200;КУСТАРНИКИ ОБЫЧНЫЕ;NoneStyleLine
P0071211200;КУСТАРНИКИ ОБЫЧНЫЕ;Кустарники (точечный)_100к
P0071214000;САКСАУЛ ;Саксаул (точечный)_100к
P0071222000;ВИНОГРАДНИКИ ;NoneStyleMark
L0071224300;КУСТАР.ОБСАДКА (односторонняя);NoneStyleLine
L00712243001;КУСТАР.ОБСАДКА (двусторонняя);NoneStyleLine
V0071224300;КУСТАРНИКОВАЯ ОБСАДКА ;NoneStyleLine
S0071312000;ВЫСОКОТРАВНАЯ РАСТИТЕЛЬНОСТЬ;Высокотравная растительность_100к
S0071314000;ЛУГОВАЯ РАСТИТЕЛЬНОСТЬ;Луговая травянистая растительность_25к
S0071315000;СТЕПНАЯ ТРАВЯНИСТАЯ РАСТИТ.;Степная растительность_100к
S0071321000;ПЛАНТАЦИИ ТРАВЯН.ТЕХ.КУЛЬТУР ;NoneStylePoly
S0071322100;РИСОВЫЕ ПОЛЯ (затопляемые);NoneStylePoly
S0071322200;РИСОВЫЕ ПОЛЯ (увлажняемые);NoneStylePoly
L0071323000;ПАРНИКИ,ТЕПЛИЦЫ,ОРАНЖЕРЕИ ;NoneStyleLine
S0071323000;ПАРНИКИ,ТЕПЛИЦЫ,ОРАНЖЕРЕИ;NoneStylePoly
V0071323000;ПАРНИКИ,ТЕПЛИЦЫ,ОРАНЖЕРЕИ ;NoneStyleLine
S0071324100;ПАШНИ;NoneStylePoly
S0071410000;ПОЛУКУСТАРНИКИ ;NoneStylePoly
S0071500000;МОХОВАЯ И ЛИШАЙНИКОВАЯ РАСТИТ.;Моховая и лишайниковая растительность_50-100к
L0071610000;ПРОСЕКИ;NoneStyleLine
S0071610000;ПРОСЕКИ;NoneStylePoly
S0071620000;ЛЕСНЫЕ КВАРТАЛЫ;NoneStylePoly
S0071630000;ПОЛЯНЫ;NoneStylePoly
S0031110000;ОКЕАНЫ И МОРЯ;Водоёмы
S0031120000;ОЗЕРА ПОСТОЯННЫЕ;Водоёмы
S00311200001;ОЗЕРА ПЕРЕСЫХАЮЩИЕ;Водоёмы пересыхающие_25к-50к
S0031131000;ВОДОХРАНИЛИЩА ;Водоёмы
S00311310001;ВОДОХРАНИЛИЩА (строящиеся);NoneStylePoly
P0031131000;ВОДОХРАНИЛИЩА ;Водохранилища и другие сооружения для сбора воды, не выражающиеся в масштабе карты_100к
S0031132000;ПРУДЫ;Водоёмы
P0031132000;ПРУДЫ;NoneStyleMark
S0031133000;БАССЕЙНЫ;Водоёмы
P0031133000;БАССЕЙНЫ;NoneStyleMark
S0031134000;ДОЖДЕВЫЕ ЯМЫ,СООР.ДЛЯ СБ.ВОДЫ;NoneStylePoly
P0031134000;ДОЖДЕВЫЕ ЯМЫ,СООР.ДЛЯ СБ.ВОДЫ;NoneStyleMark
S0031140000;ПЛОЩАДИ РАЗЛИВОВ,ЗОНЫ ЗАТОПЛ.;NoneStylePoly
L0031410000;РЕКИ ПОСТОЯННЫЕ (менее 10м)  ;Реки_0,3
L00314100001;РЕКИ ПЕРЕСЫХАЮЩИЕ (менее 10м);Реки пересыхающие_0,3
L00314100002;ПОДЗЕМНЫЕ РЕКИ (менее 10м) ;Реки подземные
L00314100003;РЕКИ ПОСТОЯННЫЕ (от 10 до 60м);Реки_0,7
L00314100004;РЕКИ ПЕРЕСЫХАЮЩИЕ(от10 до 60м);Реки пересыхающие_0,7
L00314100005;РЕКИ ПОДЗЕМНЫЕ ( 10м и более );Реки подземные
L00314100006;РЕКИ ПО НАЛЕДИ;NoneStyleLine
S0031410000;РЕКИ ПОСТОЯННЫЕ ;Водоёмы
S00314100001;РЕКИ ПЕРЕСЫХАЮЩИЕ;Водоёмы пересыхающие_25к-50к
L0031420000;РУЧЬИ ПОСТОЯННЫЕ;NoneStyleLine
L00314200001;РУЧЬИ ПЕРЕСЫХАЮЩИЕ;NoneStyleLine
L00314200002;РУЧЬИ ПРОПАДАЮЩИЕ ;NoneStyleLine
L00314200003;РУЧЬИ ПО НАЛЕДИ ;NoneStyleLine
L0031431110;КАНАЛЫ СУДОХОДНЫЕ (от3 до10м);NoneStyleLine
L00314311101;КАНАЛЫ СУДОХОДНЫЕ (от10 до60м);NoneStyleLine
S0031431110;КАНАЛЫ СУДОХОДНЫЕ ;Водоёмы
L0031431120;КАНАЛЫ НЕСУДОХОДНЫЕ (менее 3м);NoneStyleLine
L00314311201;КАНАЛЫ НЕСУДОХОДНЫЕ(от3 до10м);NoneStyleLine
L00314311202;КАНАЛЫ НЕСУДОХОДНЫЕ (от10-60м);NoneStyleLine
S0031431120;КАНАЛЫ НЕСУДОХОДНЫЕ ;Водоёмы
L0031431200;КАНАЛЫ ПОДЗЕМНЫЕ (от 3 до 10м);NoneStyleLine
L00314312001;КАНАЛЫ ПОДЗЕМНЫЕ(от 10 до 60м);NoneStyleLine
L0031431310;КАНАЛЫ СТР.СУДОХ.(10м и более);NoneStyleLine
L00314313101;КАНАЛЫ СТР.СУДОХОДНЫЕ (3-10м );NoneStyleLine
S0031431310;КАНАЛЫ СУДОХОДНЫЕ СТРОЯЩИЕСЯ;NoneStylePoly
L0031431320;КАНАЛЫ СТР.НЕСУДОХОДЫЕ (3-10м);NoneStyleLine
L00314313201;КАНАЛЫ СТР.НЕСУДОХОД.(10 и б.);NoneStyleLine
S0031431320;КАНАЛЫ НЕСУДОХОДНЫЕ СТРОЯЩИЕСЯ;NoneStylePoly
L0031431520;ОРОСИТЕЛЬНЫЕ КАНАЛЫ;NoneStyleLine
L0031432000;КАНАВЫ (менее 3м) ;NoneStyleLine
L00314320001;КАНАВЫ (от 3 до 10м) ;NoneStyleLine
L00314320002;КАНАВЫ (от 10 до 60м) ;NoneStyleLine
L0031432200;КАНАВЫ СУХИЕ (менее 10м) ;NoneStyleLine
L00314322001;КАНАВЫ СУХИЕ (10м и более) ;NoneStyleLine
V0031612000;ИСТОЧНИКИ НЕОБОРУДОВАННЫЕ;NoneStyleLine
P0031620000;ГЕЙЗЕРЫ;NoneStyleMark
S0031211000;ОТМЕЛИ;NoneStylePoly
S0031212000;МЕЛИ;NoneStylePoly
S0031220000;БЕРЕГА ОПАСНЫЕ;NoneStylePoly
V0031220000;БЕРЕГА ОПАСНЫЕ   ;NoneStyleLine
S00312300004;БЕРЕГА ОСЫХАЮЩИЕ(песч.-камен.);NoneStylePoly
L0031242000;БЕРЕГА ОБРЫВ.(СКАЛ.) БЕЗ ПЛЯЖА;NoneStyleLine
S0031250000;МЕСТА СКОПЛЕНИЯ ПЛАВНИКА;NoneStylePoly
L0031335100;ВОДОПАДЫ;NoneStyleLine
V0031335100;ВОДОПАДЫ ;NoneStyleLine
L0031335200;ПОРОГИ ;NoneStyleLine
S0031335200;ПОРОГИ ;NoneStylePoly
V0031335200;ПОРОГИ ;NoneStyleLine
L0031521000;НАПРАВЛЕНИЕ ОСНОВНОГО ТЕЧЕНИЯ ;NoneStyleLine
V0031532000;ХАРАКТЕРИСТИКИ СУХИХ КАНАВ;NoneStyleLine
L0031540000;УКАЗАТЕЛИ НАЧАЛА РЕГУЛ.СУДОХ.;NoneStyleLine
L0031541000;УКАЗ.НАЧАЛА СУДОХ.МАЛОМ.СУДОВ;NoneStyleLine
L0031700000;БЕРЕГОВАЯ ЛИНИЯ ПОСТОЯННАЯ;NoneStyleLine
L0032431100;ЛИНИЯ,СОЕДИНЯЮЩАЯ СТВОРН.ЗНАКИ;NoneStyleLine
S0034000000;ОСТРОВА ;NoneStylePoly
P0034000000;ОСТРОВА;NoneStyleMark
S0031337200;КЛАДБИЩЕ КОРАБЛЕЙ;NoneStylePoly
P0031337200;КЛАДБИЩА КОРАБЛЕЙ;NoneStyleMark
V0031337300;ВЫБРОШЕННОЕ СУДНО;NoneStyleLine
P0031611000;ИСТОЧНИКИ ОБОРУДОВАННЫЕ;Оборудованные источники_100к
P0031631000;КОЛОДЦЫ(СКВАЖИНЫ) АРТЕЗИАНСКИЕ;Артезианские колодцы и артезианские скважины_100к
P0031632000;КОЛОДЦЫ С ВЕТРЯНЫМ ДВИГАТЕЛЕМ ;NoneStyleMark
P0031633100;КОЛОДЦЫ БЕТОН.С МЕХАН.ПОДЪЕМОМ;Колодцы бетонированные с механическим подъемом воды_25к-50к
P0031634000;ЧИГИРИ ;Чигири_100к
P0031635000;КОЛОДЦЫ ПРОЧИЕ;Колодцы_100к
P0031636000;КОЛОДЦЫ ГЛАВНЫЕ;Главные колодцы_100к
L00321100001;ПЛОТИНЫ;NoneStyleLine
V0032110000;ПЛОТИНЫ ;NoneStyleLine
L0032110100;СТОРОНА ПЛОТИНЫ, ДАМБЫ ;Дамбы(1)_25к-100к
L0032120000;ШЛЮЗЫ;NoneStyleLine
S0032120000;ШЛЮЗЫ;NoneStylePoly
V0032120000;ШЛЮЗЫ ;NoneStyleLine
L0032121000;ВОРОТА ШЛЮЗОВ ;NoneStyleLine
V0032121000;ВОРОТА ШЛЮЗОВ ;NoneStyleLine
L0032121100;ВОРОТА ШЛЮЗОВ С МОСТАМИ;NoneStyleLine
L0032130000;ДАМБЫ (двусторонние в 2 линии);Дамбы(3)_100к
